"Family","Count"
"lepidosirenidae",6
"myrocongridae",6
"neoceratodontidae",6
"pholidichthyidae",6
"regalecidae",6
"vaillantellidae",6
"bovichtidae",5
"cyematidae",5
"echinorhinidae",5
"eleginopsidae",5
"enoplosidae",5
"pantodontidae",5
"parabrotulidae",5
"psammobiidae",5
"rhyacichthyidae",5
"stegostomatidae",5
"anacanthobatidae",4
"aphyonidae",4
"callorhinchidae",4
"chlamydoselachidae",4
"geotriidae",4
"group 220 unidentified",4
"group 233 unidentified",4
"howellidae",4
"pseudaphritidae",4
"ptilichthyidae",4
"schindleriidae",4
"barbourisiidae",3
"bathysauridae",3
"buccinidae",3
"centracanthidae",3
"chaudhuriidae",3
"cheimarrichthyidae",3
"chironemidae",3
"dinolestidae",3
"euclichthyidae",3
"glaucosomatidae",3
"group 211 unidentified",3
"hexatrygonidae",3
"ostracoberycidae",3
"pataecidae",3
"rhinidae",3
"triodontidae",3
"veliferidae",3
"achiropsettidae",2
"aphaniidae",2
"aplodactylidae",2
"barbuccidae",2
"dentatherinidae",2
"group 135 unidentified",2
"group 174 unidentified",2
"group 198 unidentified",2
"group 230 unidentified",2
"gymnarchidae",2
"hypnidae",2
"kurtidae",2
"lepidogalaxiidae",2
"notocheiridae",2
"olyridae",2
"oxynotidae",2
"parascylliidae",2
"phractolaemidae",2
"pseudocarchariidae",2
"rondeletiidae",2
"scoloplacidae",2
"stylephoridae",2
"sundasalangidae",2
"tephritidae",2
"acheilognathidae",1
"bedotiidae",1
"botiidae",1
"brachaeluridae",1
"brachionichthyidae",1
"caulophrynidae",1
"denticipitidae",1
"fluviphylacidae",1
"gnathanacanthidae",1
"group 130 unidentified",1
"group 142 unidentified",1
"group 145 unidentified",1
"group 172 unidentified",1
"group 176 unidentified",1
"group 178 unidentified",1
"group 213 unidentified",1
"group 217 unidentified",1
"group 242 unidentified",1
"group 86 unidentified",1
"gurgesiellidae",1
"lacantuniidae",1
"latridae",1
"leptobramidae",1
"lophotidae",1
"macroramphosidae",1
"megachasmidae",1
"mitsukurinidae",1
"mobulidae",1
"muraenolepididae",1
"paraulopidae",1
"platyrhinidae",1
"plesiobatidae",1
"pseudotriakidae",1
"sciaridae",1
"scombrolabracidae",1
"syrphidae",1
"telmatherinidae",1
"trygonorrhinidae",1
"valenciidae",1
"zeniontidae",1
