"dwc.scientificName","freq"
"Scomberomorus maculatus",23
"Campostoma anomalum pullum",22
"Cichlasoma alfaroi",22
"Cichlasoma labridens",22
"Corydoras septentrionalis",22
"Ctenopoma intermedium",22
"Epinephelus adscensionis",22
"Fundulus majalis",22
"Gambusia senilis",22
"Hippocampus zosterae",22
"Lepophidium brevibarbe",22
"Peprilus alepidotus",22
"Serranochromis macrocephalus",22
"Heterandria formosa",21
"Hyporhamphus unifasciatus",21
"Kathetostoma albigutta",21
"Parauchenipterus galeatus",21
"Prochilodus mariae",21
"Sardinella aurita",21
"Scorpaena calcarata",21
"Trichopsetta ventralis",21
"Carpiodes cyprinus",20
"Corydoras habrosus",20
"Creagrutus",20
"Diplectrum bivittatum",20
"Gymnachirus texae",20
"Haemulon aurolineatum",20
"Hyphessobrycon savagei",20
"Notropis boops",20
"Pimephales notatus",20
"Raja texana",20
"Astyanax metae",19
"Cichlasoma centrarchus",19
"Clarias theodorae",19
"Corynopoma riisei",19
"Equetus umbrosus",19
"Gambusia clarkhubbsi",19
"Herotilapia multispinosa",19
"Hoplerythrinus unitaeniatus",19
"Ictalurus",19
"Peprilus triacanthus",19
"Serranus atrobranchus",19
"Synodontis",19
"Ancistrus triradiatus",18
"Astronotus ocellatus",18
"Bollmannia communis",18
"Charax gibbosus",18
"Ctenogobius fasciatus",18
"Cyprinella xanthicara",18
"Diapterus auratus",18
"Lebiasina erythrinoides",18
"Lobotes surinamensis",18
"Lutjanus argentiventris",18
"Luxilus cornutus",18
"Ogcocephalus",18
"Pygocentrus notatus",18
"Rivulus isthmensis",18
"Sphyraena barracuda",18
"Triportheus",18
"Aplocheilichthys",17
"Cichlasoma",17
"Corydoras aeneus",17
"Cyprinodon atrorus",17
"Fundulus catenatus",17
"Notropis",17
"Paralichthys albigutta",17
"Percina maculata",17
"Pharyngochromis darlingi",17
"Priacanthus arenatus",17
"Prionotus ophryas",17
"Serranochromis angusticeps",17
"Sphoeroides testudineus",17
"Thoracocharax stellatus",17
"Afromastacembelus frenatus",16
"Ancistrus",16
"Barbus afrohamiltoni",16
"Citharichthys macrops",16
"Cyprinodon bovinus",16
"Etheostoma lepidum x spectabile",16
"Hoplosternum littorale",16
"Percina sciera serrula",16
"Petrocephalus catostoma",16
"Poecilia",16
"Rachycentron canadum",16
"Symphurus civitatium",16
"Aluterus schoepfii",15
"Ancylopsetta dilecta",15
"Aphredoderus sayanus gibbosus",15
"Barbus radiatus",15
"Brachyrhaphis parismina",15
"Centropomus parallelus",15
"Centropomus pectinatus",15
"Cyprinodon pecosensis",15
"Epinephelus nigritus",15
"Etheostoma blennioides",15
"Hydrocynus vittatus",15
"Hypopomus",15
"Lucania goodei",15
"Morone mississippiensis",15
"Ophidion holbrookii",15
"Parablennius marmoreus",15
"Percina apristis",15
"Pimephales promelas confertus",15
"Rachovia maculipinnis",15
"Rhizoprionodon terraenovae",15
"Rhynchoconger flavus",15
"Sicydium salvini",15
"Crenicichla geayi",14
"Ctenopoma multispinis",14
"Cycleptus",14
"Diplectrum arcuarium",14
"Erimyzon claviformis",14
"Esox niger",14
"Etheostoma chlorosoma",14
"Heterandria bimaculata",14
"Lepisosteus",14
"Otocinclus",14
"Prionotus longispinosus",14
"Prionotus paralatus",14
"Pristipomoides aquilonaris",14
"Roeboides guatemalensis",14
"Sargochromis carlottae",14
"Serranochromis altus",14
"Serranochromis robustus",14
"Acanthostracion quadricornis",13
"Alestes lateralis",13
"Anchoa cubana",13
"Caranx crysos",13
"Centropomus nigrescens",13
"Ctenogobius shufeldti",13
"Cyprinella venusta x lutrensis",13
"Equetus acuminatus",13
"Etheostoma radiosum",13
"Gambusia puncticulata",13
"Gymnotus cylindricus",13
"Heterandria jonesii",13
