"dwc.scientificName","freq"
"Enneacanthus chaetodon",1
"Enneacanthus obesus",1
"Erimystax dissimilis",1
"Erimystax insignis",1
"Erimyzon sucetta",1
"Esox masquinongy",1
"Etheostoma blennioides",1
"Etheostoma chlorosoma",1
"Etheostoma euzonum",1
"Etheostoma mariae",1
"Etheostoma radiosum x Etheostoma spectabile",1
"Etheostoma simoterum",1
"Etheostoma squamiceps",1
"Etheostoma swannanoa",1
"Etheostoma variatum",1
"Etheostoma vitreum",1
"Etropus crossotus",1
"Exoglossum maxillingua",1
"Fistularia commersoni",1
"Fundulus",1
"Fundulus confluentus",1
"Fundulus julisia",1
"Fundulus similis",1
"Gambusia amistadensis",1
"Gila cypha x Gila elegans",1
"Gila robusta x Rhinichthys osculus",1
"Gobiesox strumosus",1
"Gymnachirus texae",1
"Gymnothorax",1
"Gymnotus electricus",1
"Hemitremia flammea",1
"Hybognathus hankinsoni x Rhinichthys osculus",1
"Hybopsis hypsinotus",1
"Hypomesus olidus",1
"Ichthyomyzon castaneus",1
"Ichthyomyzon greeleyi",1
"Ictalurus chihuahua x Ictalurus lupus",1
"Ictalurus pricei",1
"Ictalurus sp.",1
"Ictiobus cyprinellus",1
"Iotichthys phlegethontis x Gila atraria",1
"Isurus oxyrinchus",1
"Jordanella floridae",1
"Lagocephalus laevigatus",1
"Lampetra aepyptera",1
"Lepidomeda vittata",1
"Lepisosteus",1
"Lepisosteus osseus x Lepisosteus oculatus",1
"Lepisosteus platostomus",1
"Lepomis gulosus x Lepomis megalotis",1
"Lepomis megalotis x Lepomis macrochirus",1
"Lepomis microlophus x Lepomis gulosus",1
"Lepophidium brevibarbe",1
"Luxilus zonatus",1
"Lythrurus roseipinnis",1
"Lythrurus umbratilis",1
"Macrhybopsis australis",1
"Macrhybopsis gelida x Rhinichthys cataractae",1
"Membras martinica",1
"Menidia menidia",1
"Menticirrhus",1
"Microdesmus longipinnis",1
"Microgadus tomcod",1
"Morone",1
"Morone americana",1
"Morone mississippiensis",1
"Moxostoma anisurum",1
"Moxostoma carinatum",1
"Moxostoma cervinum",1
"Moxostoma collapsum",1
"Moxostoma pappillosum",1
"Myoxocephalus",1
"Nocomis micropogon",1
"Notropis amblops",1
"Notropis buccatus",1
"Notropis buchanani",1
"Notropis cornutus x Notropis rubellus amoenus",1
"Notropis longirostris",1
"Notropis nubilus",1
"Notropis ortenburgeri",1
"Notropis shumardi",1
"Noturus exilis",1
"Noturus miurus",1
"Ogcocephalus corniger",1
"Ogcocephalus radiatus",1
"Ogcocephalus vespertilio",1
"Oligocottus maculosus",1
"Oncorhynchus aguabonita x Oncorhynchus mykiss",1
"Oncorhynchus clarki pleuriticus",1
"Oncorhynchus clarkii virginalis x Oncorhynchus mykiss",1
"Oncorhynchus clarkii x Oncorhynchus",1
"Oncorhynchus keta",1
"Oncorhynchus kisutch",1
"Oreochromis aureus",1
"Oreochromis mossambicus",1
"Pantosteus commersonii",1
"Pantosteus jarrovii",1
"Pantosteus x Pantosteus",1
"Paralichthys lethostigma",1
"Peprilus paru",1
"Percina crassa",1
"Percina nigrofasciata",1
"Phenacobius crassilabrum",1
"Pholis gunnellus",1
"Pimephales promelus",1
"Platichthys stellatus",1
"Platydoras costatus",1
"Platygobio",1
"Pleuronectes americanus",1
"Poecilia mexicana",1
"Poeciliopsis",1
"Porichthys porosissimus",1
"Prionotus",1
"Prionotus carolinus",1
"Prionotus longispinosus",1
"Prosopium coulteri",1
"Pterophyllum",1
"Remora osteochir",1
"Rhinichthys",1
"Rhinichthys cataractae x Platygobio gracilis",1
"Rhinichthys nubilus",1
"Richardsonius egregius",1
"Salmonidae",1
"Salvelinus",1
"Salvelinus namaycush x Salvelinus fontinalis",1
"Sardinella",1
"Scophthalmus aquosus",1
"Scorpaena brasiliensis",1
"Scorpaena dispar",1
"Selene vomer",1
"Semotilus corporalis",1
"Siluriformes",1
"Sphoeroides testudineus",1
"Sphoeroides trichocephalus",1
"Squatina californica",1
"Stenotomus caprinus",1
"Tetraodontidae",1
"Thunnus orientalis",1
"Thymallus signifer",1
"Trachurus lathami",1
"Triaenodon obesus",1
"Trinectes maculatus",1
