"dwc.preparations","freq"
"EtOH - 284",9
"EtOH - 289",9
"EtOH - 290",9
"EtOH - 303",9
"EtOH - 319",9
"EtOH - 323",9
"EtOH - 346",9
"EtOH - 385",9
"EtOH - 7|C&S - 3",9
"EtOH - 8|C&S - 3",9
"EtOH - 8|skeleton - 1",9
"EtOH - 10|C&S - 3",8
"EtOH - 13|skeleton - 1",8
"EtOH - 14|C&S - 3",8
"EtOH - 18|C&S - 1",8
"EtOH - 19|C&S - 2",8
"EtOH - 20|C&S - 1",8
"EtOH - 22|C&S - 2",8
"EtOH - 235",8
"EtOH - 252",8
"EtOH - 269",8
"EtOH - 270",8
"EtOH - 279",8
"EtOH - 286",8
"EtOH - 29|C&S - 2",8
"EtOH - 297",8
"EtOH - 307",8
"EtOH - 317",8
"EtOH - 330",8
"EtOH - 353",8
"EtOH - 360",8
"EtOH - 371",8
"EtOH - 39|C&S - 2",8
"EtOH - 4|skeleton - 2",8
"EtOH - 5|C&S - 3",8
"EtOH - 5|skeleton - 2",8
"skeleton - 15",8
"C&S - 5",7
"EtOH - 1|C&S - 2",7
"EtOH - 1|skeleton - 4",7
"EtOH - 12|skeleton - 1",7
"EtOH - 13|C&S - 3",7
"EtOH - 15|skeleton - 1",7
"EtOH - 16|C&S - 3",7
"EtOH - 16|C&S - 4",7
"EtOH - 17|C&S - 3",7
"EtOH - 21|C&S - 2",7
"EtOH - 223",7
"EtOH - 24|C&S - 1",7
"EtOH - 249",7
"EtOH - 258",7
"EtOH - 26|C&S - 1",7
"EtOH - 261",7
"EtOH - 265",7
"EtOH - 275",7
"EtOH - 278",7
"EtOH - 287",7
"EtOH - 313",7
"EtOH - 316",7
"EtOH - 328",7
"EtOH - 329",7
"EtOH - 33|C&S - 3",7
"EtOH - 337",7
"EtOH - 342",7
"EtOH - 345",7
"EtOH - 348",7
"EtOH - 350",7
"EtOH - 362",7
"EtOH - 402",7
"EtOH - 414",7
"EtOH - 417",7
"EtOH - 55|C&S - 3",7
"EtOH - 6|skeleton - 2",7
"skeleton - 19",7
"EtOH - 10|skeleton - 1",6
"EtOH - 11|skeleton - 1",6
"EtOH - 21|C&S - 1",6
"EtOH - 23|C&S - 3",6
"EtOH - 230",6
"EtOH - 243",6
"EtOH - 25|C&S - 3",6
"EtOH - 272",6
"EtOH - 28|C&S - 3",6
"EtOH - 28|C&S - 5",6
"EtOH - 291",6
"EtOH - 295",6
"EtOH - 296",6
"EtOH - 299",6
"EtOH - 304",6
"EtOH - 318",6
"EtOH - 32|C&S - 2",6
"EtOH - 320",6
"EtOH - 326",6
"EtOH - 33|C&S - 2",6
"EtOH - 333",6
"EtOH - 335",6
"EtOH - 34|C&S - 1",6
"EtOH - 34|C&S - 2",6
"EtOH - 341",6
"EtOH - 344",6
"EtOH - 349",6
"EtOH - 35|C&S - 1",6
"EtOH - 355",6
"EtOH - 356",6
"EtOH - 363",6
"EtOH - 37|C&S - 2",6
"EtOH - 370",6
"EtOH - 38|C&S - 1",6
"EtOH - 381",6
"EtOH - 387",6
"EtOH - 4|C&S - 3",6
"EtOH - 409",6
"EtOH - 421",6
"EtOH - 434",6
"EtOH - 441",6
"EtOH - 445",6
"EtOH - 6|C&S - 4",6
"skeleton - 20",6
"C&S - 6",5
"C&S - 9",5
"EtOH - 11|skeleton - 4",5
"EtOH - 19|C&S - 3",5
"EtOH - 21|C&S - 3",5
"EtOH - 21|C&S - 4",5
"EtOH - 22|skeleton - 1",5
"EtOH - 25|C&S - 5",5
"EtOH - 259",5
"EtOH - 26|C&S - 3",5
"EtOH - 27|C&S - 3",5
"EtOH - 27|C&S - 4",5
"EtOH - 271",5
"EtOH - 29|C&S - 5",5
"EtOH - 292",5
"EtOH - 293",5
"EtOH - 30|C&S - 1",5
"EtOH - 301",5
"EtOH - 306",5
"EtOH - 308",5
"EtOH - 31|C&S - 3",5
"EtOH - 314",5
