"dwc.scientificName","freq"
"Phoxinus erythrogaster",47
"Synodontis",47
"Tautogolabrus adspersus",47
"Archosargus probatocephalus",46
"Coregonus clupeaformis",46
"Gnathonemus petersii",46
"Marcusenius schilthuisiae",46
"Salmo salar",46
"Acantharchus pomotis",45
"Chologaster cornuta",45
"Hololepis serrifer",45
"Luxilus chrysocephalus chrysocephalus",45
"Myoxocephalus octodecemspinosus",45
"Stomatorhinus",45
"Brycinus imberi",44
"Chaetodipterus faber",44
"Cynoscion nebulosus",44
"Micralestes stormsi",44
"Poecilichthys coeruleus",44
"Stomatorhinus ivindoensis",44
"Carpiodes cyprinus",43
"Cynoscion regalis",43
"Moxostoma cervinum",43
"Nannocharax",43
"Notropis procne longiceps",43
"Pomolobus pseudoharengus",43
"Brienomyrus brachyistius",42
"Catostomus utawana",42
"Notropis bellus",42
"Notropis stilbius",42
"Pimephales vigilax",42
"Poecilichthys caeruleus",42
"Schilbe intermedius",42
"Xiphophorus birchmanni",42
"Cottus caeruleomentum",41
"Hypentelium roanokense",41
"Lota lota",41
"Marcusenius monteiri",41
"Parauchenoglanis balayi",41
"Etheostoma longimanum",40
"Isichthys henryi",40
"Lampetra aepyptera",40
"Leptolucania ommata",40
"Notropis blennius",40
"Notropis scepticus",40
"Raja",40
"Roccus americanus",40
"Ariopsis felis",39
"Erimystax dissimilis",39
"Etheostoma edwini",39
"Etheostoma jessiae",39
"Eucinostomus gula",39
"Fundulus seminolis",39
"Haplochromis",39
"Hybopsis rubrifrons",39
"Sphyraena barracuda",39
"Tautoga onitis",39
"Ameiurus",38
"Anaspidoglanis macrostoma",38
"Fundulus confluentus",38
"Hemichromis fasciatus",38
"Microctenopoma nanum",38
"Micropterus coosae",38
"Moxostoma collapsum",38
"Paramormyrops hopkinsi",38
"Pungitius pungitius",38
"Trachinotus falcatus",38
"Tropheus brichardi",38
"Abudefduf saxatilis",37
"Centropristis striata",37
"Moxostoma pappillosum",37
"Phenacobius uranops",37
"Poronotus triacanthus",37
"Erimyzon sucetta sucetta",36
"Hepsetus odoe",36
"Hybopsis hypsinotus",36
"Limia perugiae",36
"Simochromis diagramma",36
"Stomatorhinus walkeri",36
"Bryconaethiops microstoma",35
"Cyprinidae",35
"Dorosoma petenense",35
"Eucinostomus",35
"Moxostoma valenciennesi",35
"Prionotus carolinus",35
"Selene vomer",35
"Elops saurus",34
"Epiplatys",34
"Esox americanus vermiculatus",34
"Fundulus",34
"Hemichromis",34
"Opsaridium ubangiense",34
"Paramormyrops gabonensis",34
"Percina notogramma",34
"Anarhichas lupus",33
"Atherinomorus stipes",33
"Distichodus notospilus",33
"Erimyzon tenuis",33
"Histrio histrio",33
"Micralestes acutidens",33
"Noturus eleutherus",33
"Schilbeodes miurus",33
"Alestidae",32
"Bryconaethiops boulengeri",32
"Caranx crysos",32
"Menidia",32
"Micropogon undulatus",32
"Notropis chiliticus",32
"Notropis chlorocephalus",32
"Notropis roseipinnis",32
"Phenacogrammus interruptus",32
"Adinia xenica",31
"Ctenopoma kingsleyae",31
"Lethenteron appendix",31
"Mugil",31
"Notropis alborus",31
"Notropis atrapiculus",31
"Pareutropius debauwi",31
"Pomoxis sparoides",31
