"dwc.preparations","freq"
"whole organism (C & S) - 5",5
"whole organism (ethanol) - 1; 35 mm slide - 1",5
"whole organism (ethanol) - 1; whole organism (C & S) - 1",5
"whole organism (ethanol) - 100",5
"whole organism (ethanol) - 11; tissue (95% ethanol) - 10",5
"whole organism (ethanol) - 17; tissue (95% ethanol) - 10",5
"whole organism (ethanol) - 200",5
"whole organism (ethanol) - 49",5
"whole organism (ethanol) - 50",5
"whole organism (ethanol) - 51",5
"whole organism (ethanol) - 53",5
"whole organism (ethanol) - 60",5
"whole organism (ethanol) - 61",5
"whole organism (ethanol) - 64",5
"whole organism (ethanol) - 65",5
"whole organism (ethanol) - 7; tissue (95% ethanol) - 1",5
"whole organism (ethanol) - 75",5
"whole organism (ethanol) - 8; whole organism (C & S) - 1",5
"whole organism (formalin) - 15",5
"whole organism (formalin) - 9",5
"whole organism (isopropanol) - 15; photograph - 1",5
"whole organism (isopropanol) - 181",5
"whole organism (isopropanol) - 182",5
"whole organism (isopropanol) - 183",5
"whole organism (isopropanol) - 186",5
"whole organism (isopropanol) - 190",5
"whole organism (isopropanol) - 192",5
"whole organism (isopropanol) - 195",5
"whole organism (isopropanol) - 196",5
"whole organism (isopropanol) - 197",5
"whole organism (isopropanol) - 2; photograph - 1; photograph - 1",5
"whole organism (isopropanol) - 203",5
"whole organism (isopropanol) - 225",5
"whole organism (isopropanol) - 230",5
"whole organism (isopropanol) - 236",5
"whole organism (isopropanol) - 242",5
"whole organism (isopropanol) - 26; photograph - 1",5
"whole organism (isopropanol) - 301",5
"whole organism (isopropanol) - 325",5
"whole organism (isopropanol) - 341",5
"whole organism (isopropanol) - 450",5
"",4
"35 mm slide - 1; whole organism (ethanol) - 1",4
"body parts (formalin) - 1",4
"body parts (isopropanol) - 1",4
"EOD Recording - 1; Gift Specimen(s) - 1",4
"Gift Specimen(s) - 1; EOD Recording - 1",4
"Gift Specimen(s) - 1; whole organism (ethanol) - 2",4
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 6; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",4
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 3",4
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 3",4
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 5; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",4
"tissue (95% ethanol) - 1; whole organism (ethanol) - 9",4
"tissue (95% ethanol) - 10; 35 mm slide - 1; whole organism (ethanol) - 1",4
