"dwc.scientificName","freq"
"Cyprinella venusta",77
"Fundulus diaphanus diaphanus",76
"Moxostoma macrolepidotum breviceps",73
"Neogobius melanostomus",73
"Etheostoma punctulatum",72
"Labidesthes sicculus sicculus",72
"Notropis telescopus",71
"Cyprinidae",70
"Ictiobus cyprinellus",70
"Pseudopleuronectes americanus",70
"Lepomis peltastes",68
"Hybopsis storerianus",67
"Notropis hudsonius hudsonius",67
"Peprilus triacanthus",64
"Lepibema chrysops",63
"Schilbeodes miurus",63
"Notropis umbratilus cyanocephalus",62
"Etheostoma tetrazonum",60
"Notropis greenei",58
"Salmo trutta",58
"Scophthalmus aquosus",58
"Cyprinella galactura",57
"Etheostoma stigmaeum",57
"Dorosoma petenense",56
"Pomatomus saltatrix",56
"Hiodon alosoides",55
"Etheostoma thalassinum",54
"Ichthyomyzon fossor",53
"Semotilus corporalis",53
"Etheostoma caeruleum × spectabile",52
"Ichthyomyzon castaneus",51
"Notropis",51
"Etheostoma",50
"Luxilus",50
"Notropis texanus",49
"Percina evides",48
"Ichthyomyzon bdellium",47
"Ictalurus lacustris punctatus",46
"Nocomis leptocephalus",46
"Cottus cognatus",45
"Ambloplites rupestris rupestris",44
"Ictalurus lacustris lacustris",44
"Macrhybopsis aestivalis",44
"Notropis leuciodus",44
"Percina nigrofasciata",44
"Phoxinus eos",44
"Prionotus carolinus",44
"Cyprinus carpio × Carassius auratus",43
"Hybopsis micropogon",43
"Lepomis auritus",43
"Micropterus salmoides salmoides",43
"Etheostoma rufilineatum",42
"Hybopsis x-punctata",42
"Lepomis cyanellus × macrochirus",42
"Notropis heterodon",42
"Erimystax insignis",41
"Fundulus olivaceus",41
"Notropis volucellus wickliffi",41
"Alosa aestivalis",40
"Gasterosteus aculeatus",40
"Ichthyomyzon greeleyi",40
"Trinectes maculatus",40
"Esox niger",39
"Lepomis megalotis peltastes",39
"Lota lota",39
"Percina caprodes caprodes",39
"Chaenobryttus gulosus",37
"Esox americanus vermiculatus",37
"Leiostomus xanthurus",37
"Luxilus coccogenis",36
"Noturus nocturnus",36
"Stizostedion canadense canadense",36
"Carpiodes cyprinus cyprinus",35
"Carpiodes",34
"Luxilus pilsbryi",34
"Menticirrhus saxatilis",34
"Paralichthys dentatus",34
"Etheostoma chlorosomum",33
"Lepomis cyanellus × gibbosus",33
"Margariscus margarita",33
"Morone mississippiensis",33
"Moxostoma valenciennesi",33
"Etheostoma flabellare flabellare",32
"Hybognathus hankinsoni",32
"Hybopsis biguttatus",32
"Morone saxatilis",32
"Oncorhynchus kisutch",32
"Fundulus heteroclitus",31
"Ictalurus furcatus",31
"Ictiobus niger",31
"Notropis chalybaeus",31
"Sander canadensis",31
"Notropis ariommus",30
"Lepomis macrochirus × gibbosus",29
"Moxostoma",29
"Mugil curema",29
"Cottus bairdii kumlieni",28
"Hypentelium etowanum",28
"Lepomis marginatus",28
"Lythrurus fumeus",28
"Etheostoma gracile",27
"Etheostoma olmstedi",27
"Hybognathus placitus",27
"Lepomis miniatus",27
"Notropis cornutus frontalis",27
"Pungitius pungitius",27
"Catonotus flabellaris flabellaris",26
"Etheostoma simoterum",25
"Fundulus diaphanous menona",25
"Lepisosteus oculatus",25
"Stenotomus chrysops",25
"Hybopsis dissimilis",24
"Notropis percobromus",24
"Cycleptus elongatus",23
"Etheostoma bellum",23
"Etheostoma proeliare",23
"Etheostoma vulneratum",23
"Hybopsis dissimilis dissimilis",23
"Lampetra appendix",23
"Schilbeodes gyrinus",23
"Cynoscion regalis",22
