"dwc.scientificName","freq"
"Triglops murrayi",13
"Acanthochaenus luetkenii",12
"Aplodinotus grunniens",12
"Apristurus profundorum",12
"Ariomma bondi",12
"Bathypterois grallator",12
"Conger oceanicus",12
"Etheostoma kanawhae",12
"Etmopterus gracilispinis",12
"Etropus crossotus",12
"Foetorepus",12
"Idiacanthus fasciola",12
"Melanocetus johnsonii",12
"Moxostoma anisurum",12
"Moxostoma pappillosum",12
"Percina oxyrhynchus",12
"Prionace glauca",12
"Rhizoprionodon terraenovae",12
"Scopeloberyx robustus",12
"Sphyrna lewini",12
"Acipenser oxyrinchus desotoi",11
"Ammodytes hexapterus",11
"Artediellus uncinatus",11
"Balistes capriscus",11
"Bassozetus normalis",11
"Bathytroctes macrolepis",11
"Carpiodes cyprinus",11
"Centropristis philadelphica",11
"Citharichthys spilopterus",11
"Hygophum reinhardtii",11
"Lactophrys trigonus",11
"Leucoraja erinacea",11
"Macrourus berglax",11
"Micropterus punctulatus",11
"Myctophum affine",11
"Peristedion gracile",11
"Priacanthus arenatus",11
"Prionotus scitulus",11
"Prionotus tribulus",11
"Raja radiata",11
"Sphyraena barracuda",11
"Squatina dumeril",11
"Ambloplites cavifrons",10
"Anarhichas lupus",10
"Antigonia capros",10
"Arctozenus risso",10
"Aspidophoroides monopterygius",10
"Bassozetus taenia",10
"Bathytyphlops marionae",10
"Borostomias antarcticus",10
"Carcharodon carcharias",10
"Cottus cognatus",10
"Cryptopsaras couesii",10
"Cyclopterus lumpus",10
"Cyclothone braueri",10
"Etheostoma",10
"Gobiesox maeandricus",10
"Halieutichthys aculeatus",10
"Histiobranchus bathybius",10
"Hoplostethus occidentalis",10
"Lumpenus sagitta",10
"Luxilus coccogenus",10
"Lycodes vahlii",10
"Melanogrammus aeglefinus",10
"Monolene sessilicauda",10
"Notropis altipinnis",10
"Noturus gilberti",10
"Opisthonema oglinum",10
"Pollachius virens",10
"Pomoxis annularis",10
"Prionotus rubio",10
"Raja eglanteria",10
"Sander vitreus",10
"Syacium papillosum",10
