"dwc.scientificName","freq"
"Leptocottus armatus",9
"Lestidiops affinis",9
"Lobianchia dofleini",9
"Lopholatilus chamaeleonticeps",9
"Lutjanus analis",9
"Macrhybopsis storeriana",9
"Makaira nigricans",9
"Melamphaes pumilus",9
"Moxostoma poecilurum",9
"Mugil sp.",9
"Mullus auratus",9
"Notropis greenei",9
"Ogcocephalus parvus",9
"Ophidiidae",9
"Pareques umbrosus",9
"Percina tanasi",9
"Poecilia sp. (sphenops complex",9
"Polymetme corythaeola",9
"Porichthys plectrodon",9
"Pteronotropis hypselopterus",9
"Pungitius pungitius",9
"Sarda sarda",9
"Sciaenidae",9
"Serranus phoebe",9
"Synagrops sp.",9
"Synodus intermedius",9
"Acanthocybium solandri",8
"Alosa chrysochloris",8
"Bascanichthys scuticaris",8
"Bellator militaris",8
"Benthocometes robustus",8
"Cantherhines macrocerus",8
"Catostomus macrocheilus",8
"Caulolatilus affinis",8
"Caulolatilus chrysops",8
"Centropristis ocyurus",8
"Cephalopholis cruentata",8
"Cetorhinus maximus",8
"Chaetodon striatus",8
"Clarias batrachus",8
"Cookeolus japonicus",8
"Cottus rhotheus",8
"Ctenopharyngodon idella",8
"Cymatogaster aggregata",8
"Cyprinella callistia",8
"Cyprinella camura",8
"Diaphus lucidus",8
"Diplectrum sp.",8
"Enchelyopus cimbrius",8
"Epinephelus drummondhayi",8
"Erimystax x-punctatus",8
"Erimyzon sp.",8
"Etheostoma bellum",8
"Etheostoma coosae",8
"Etheostoma jordani",8
"Etheostoma juliae",8
"Etheostoma sp. (cf. blennioides--Cumberland",8
"Eucinostomus gracilis",8
"Eucinostomus sp.",8
"Evorthodus lyricus",8
"Gempylus serpens",8
"Gerreidae",8
"Haemulon parra",8
"Haemulon sciurus",8
"Hemicaranx amblyrhynchus",8
"Hirundichthys rondeletii",8
"Hygophum hygomii",8
"Hyporhamphus unifasciatus",8
"Kathetostoma albigutta",8
"Lactophrys sp.",8
"Lampanyctus nobilis",8
"Lepisosteus oculatus",8
"Lestidium atlanticum",8
"Membras vagrans",8
"Mulloidichthys martinicus",8
"Muraenidae",8
"Mycteroperca sp.",8
"Myrophis platyrhynchus",8
"Notropis ariommus",8
"Noturus albater",8
"Ophidion selenops",8
"Pelmatolapia mariae",8
"Peristedion ecuadorense",8
"Peristedion miniatum",8
"Pollachius virens",8
"Polymetme thaeocoryla",8
