"dwc.scientificName","freq"
"Copadichromis trimaculatus",20
"Dolicholagus longirostris",20
"Erimyzon oblongus",20
"Fundulus chrysotus",20
"Gobiosoma bosci",20
"Macrourus berglax",20
"Mugil",20
"Percina smithvanizi",20
"Scopeloberyx robustus",20
"Thalassoma bifasciatum",20
"Vomeridens infuscipinnis",20
"Anchoa hepsetus",19
"Apogon maculatus",19
"Cyprinodon",19
"Etheostoma forbesi",19
"Etrumeus teres",19
"Exoglossum maxillingua",19
"Haemulon",19
"Myripristis jacobus",19
"Notropis petersoni",19
"Noturus exilis",19
"Percina apina",19
"Platybelone argala",19
"Scopeloberyx",19
"Scopelogadus mizolepis",19
"Serranidae",19
"Aluterus schoepfi",18
"Cephalopholis fulva",18
"Chaetodon capistratus",18
"Chauliodus danae",18
"Cryptopsaras couesii",18
"Diogenichthys atlanticus",18
"Erimyzon claviformes",18
"Etheostoma cf. spectabile",18
"Fundulus notti",18
"Hippocampus erectus",18
"Hippoglossoides platessoides",18
"Hirundichthys affinis",18
"Lampetra aepyptera",18
"Lepidophanes guentheri",18
"Menticirrhus",18
"Nannostomus eques",18
"Nimbochromis polystigma",18
"Notropis bifrenatus",18
"Noturus flavus",18
"Pagetopsis macropterus",18
"Paracheirodon axelrodi",18
"Pomacentridae",18
"Pterois volitans",18
"Salmonidae",18
"Scomber scombrus",18
"Seriola",18
"Sparidae",18
"Trematomus scotti",18
"Zoarces americanus",18
"Archosargus probatocephalus",17
"Atherinomorus stipes",17
"Benthosema glaciale",17
"Canthidermis maculatus",17
"Carangidae",17
"Cyprinella whipplei",17
"Gobiosoma robustum",17
"Idiacanthus panamensis",17
"Luxilus zonatus",17
"Micropterus coosae",17
"Nannobrachium cuprarium",17
"Neopagetopsis ionah",17
"Petromyzon marinus",17
"Selar crumenophthalmus",17
"Spratelloides delicatulus",17
"Stegastes partitus",17
"Strongylura notata",17
"Akarotaxis nudiceps",16
"Albula vulpes",16
"Ariomma",16
"Astyanax mexicanus",16
"Aulonocara",16
"Cottoidea",16
"Cyclothone livida",16
"Esox lucius",16
"Etheostoma coosae",16
"Fistularia tabacaria",16
"Gobiosoma chiquita",16
"Hemiramphus brasiliensis",16
"Hygophum benoiti",16
"Jordanella floridae",16
"Lythrurus umbratilis",16
"Nannobrachium lineatum",16
"Nothonotus jordani",16
"Notropis nubilus",16
"Notropis texanus",16
"Percina copelandi",16
"Percina kathae",16
"Percina maculata",16
"Percina roanoka",16
"Percina tanasi",16
"Pimephales promelas",16
"Pogonias cromis",16
"Pogonophryne barsukovi",16
"Scarus iseri",16
"Sparisoma chrysopterum",16
"Stegastes adustus",16
"Trachinotus blochii",16
"Acanthurus triostegus",15
"Antennarius",15
"Bathygobius soporator",15
"Caranx sexfasciatus",15
"Chaetodipterus faber",15
"Chlorophthalmus agassizi",15
"Chrysiptera biocellata",15
"Cottus gobio",15
"Decapterus macarellus",15
"Derichthys serpentinus",15
"Engraulidae",15
"Etheostoma artesiae",15
"Etheostoma jessiae",15
"Etheostoma swaini",15
"Halichoeres bivittatus",15
"Heterandria formosa",15
"Holocentrus adscensionis",15
"Holocentrus rufus",15
"Hygophum macrochir",15
"Menticirrhus americanus",15
"Nannostomus unifasciatus",15
"Neoniphon marianus",15
"Noturus fasciatus",15
"Noturus insignis",15
"Sargocentron coruscum",15
"Aidablennius sphynx",14
"Balistidae",14
"Bathyraja maccaini",14
"Centrarchus macropterus",14
"Cephalochordata",14
"Congridae",14
"Coryphoblennius galerita",14
"Ctenogobius boleosoma",14
"Dactylopterus",14
"Enneacanthus obesus",14
"Etheostoma bellator",14
"Etheostoma pulchellum",14
"Fundulus seminolis",14
"Gymnothorax",14
"Halichoeres garnoti",14
"Hemigrammus bleheri",14
"Hemitripterus americanus",14
"Hypoatherina harringtonensis araea",14
"Kyphosus",14
"Lampanyctus festivus",14
"Lepidosiren paradoxa",14
"Lophius americanus",14
"Melanocetus murrayi",14
"Microgadus tomcod",14
"Mulloidichthys martinicus",14
"Myoxocephalus scorpius",14
"Neoniphon sammara",14
"Nocomis biguttatus",14
"Osteoglossum bicirrhosum",14
"Paralepididae",14
"Pimephales vigilax",14
"Poecilia sphenops",14
"Pristis pectinata",14
"Rutilus rutilus",14
"Scomber japonicus",14
"Selene vomer",14
"Serrivomer beanii",14
"Stellifer lanceolatus",14
"Symbolophorus veranyi",14
"Synodus scituliceps",14
"Synodus variegatus",14
"Trematomus nicolai",14
"Umbra limi",14
"Abudefduf saxatilis",13
"Acanthostracion quadricornis",13
"Achirus lineatus",13
"Antigonia capros",13
"Balistes capriscus",13
"Bolinichthys photothorax",13
"Caranx",13
"Cephalopholis cruentata",13
"Cheilopogon furcatus",13
"Chromis multilineatus",13
"Culaea inconstans",13
"Cyprinella analostana",13
"Enchelyopus cimbrius",13
"Epinephelus merra",13
"Epinephelus striatus",13
"Erpetoichthys calabaricus",13
"Etheostoma striatulum",13
"Halichoeres",13
"Idiacanthus fasciola",13
"Labeotropheus fuelleborni",13
"Moxostoma poecilurum",13
"Nealotus tripes",13
"Nessorhamphus ingolfianus",13
"Notropis ammophilus",13
"Notropis asperifrons",13
"Notropis baileyi",13
"Noturus miurus",13
"Omosudis lowei",13
"Poromitra capito",13
"Raja",13
"Scaridae",13
"Sphoeroides spengleri",13
"Stethojulis balteata",13
"Trematomus pennellii",13
"Trematomus tokarevi",13
"Acanthurus coeruleus",12
"Ambloplites ariommus",12
"Anotopterus pharao",12
"Bathygobius fuscus",12
"Bolinichthys pyrsobolus",12
"Chaetodon striatus",12
"Citharichthys spilopterus",12
"Copadichromis quadrimaculatus",12
"Cottidae",12
"Diodon",12
"Erimystax insignis",12
"Etheostoma radiosum",12
"Fistularia petimba",12
"Fundulus stellifer",12
"Halichoeres radiatus",12
"Helicolenus dactylopterus",12
"Hippoglossina oblonga",12
"Holacanthus ciliaris",12
"Hyperoglyphe perciformis",12
"Lutjanidae",12
"Luxilus coccogenis",12
"Melamphaes",12
"Melanostigma atlanticum",12
"Mustelus canis",12
"Notropis atherinoides",12
"Notropis lutipinnis",12
"Notropis photogenis",12
"Opisthonema oglinum",12
"Paralichthys aestuarius",12
"Percina peltata",12
"Polymixia lowei",12
"Pomoxis nigromaculatus",12
"Salvelinus namaycush",12
"Sargocentron diadema",12
"Seriola lalandi",12
"Sphoeroides annulatus",12
"Synaphobranchus kaupii",12
"Thymallus arcticus",12
"Valenciennea sexguttata",12
"Xiphophorus hellerii",12
"Yarrella blackfordi",12
"Acanthurus nigrofuscus",11
"Atherinella nocturna",11
"Bathylagus euryops",11
"Bathysphyraenops simplex",11
"Bregmaceros",11
"Caprichromis orthognathus",11
"Chaetodon auriga",11
"Cheilopogon cyanopterus",11
"Chionodraco myersi",11
"Cryptacanthodes maculatus",11
"Dascyllus aruanus",11
"Echidna nebulosa",11
"Eleginops maclovinus",11
"Elops saurus",11
"Etheostoma burri",11
"Etheostoma nebra",11
"Etheostoma smithi",11
"Etheostoma variatum",11
"Etheostoma virgatum",11
"Fodiator acutus",11
"Halichoeres marginatus",11
"Harengula humeralis",11
"Harengula jaguana",11
"Kuhlia mugil",11
"Lactophrys triqueter",11
"Lepisosteus platostomus",11
"Lepomis miniatus",11
"Lucania goodei",11
"Lutjanus guttatus",11
"Micropterus henshalli",11
"Nocomis effusus",11
"Nothonotus chlorobranchius",11
"Nothonotus tippecanoe",11
"Paraclinus fasciatus",11
"Platytroctidae",11
"Poecilia formosa",11
"Poromitra megalops",11
"Rondeletia bicolor",11
"Salarias fasciatus",11
"Sargocentron",11
"Scopelogadus mizolepis bispinosus",11
"Serrivomer",11
"Steindachneria argentea",11
"Strongylura",11
"Trichogaster trichopterus",11
"Typhlichthys subterraneus",11
"Urophycis floridana",11
"Xyrichtys novacula",11
"Abudefduf troschelii",10
"Aethotaxis mitopteryx",10
"Alepisaurus ferox",10
"Antimora rostrata",10
"Artedidraco skottsbergi",10
"Artediellus uncinatus",10
"Atherina",10
"Atherinops affinis",10
"Bathophilus vaillanti",10
"Bolinichthys supralateralis",10
"Cottus",10
"Cyrtocara moorii",10
"Diaphus",10
"Diaphus garmani",10
"Eleotridae",10
"Enneacanthus gloriosus",10
"Epinephelus guttatus",10
"Etheostoma gore",10
"Etheostoma maydeni",10
"Etheostoma proeliare",10
"Etheostoma swannanoa",10
"Etheostoma vitreum",10
"Eucinostomus gula",10
"Eustomias",10
"Fundulus waccamensis",10
